EmployeeID,Name,Department,Age,Salary,JoiningDate,PerformanceScore,Gender,Marital Status,Experience(Years),Education,Location
1001,Employee_1,IT,55,,01-02-2020,2.6,Male,,6,PhD,Delhi
1002,Employee_2,IT,51,106209,22-08-2017,4.5,Female,,10,PhD,Chennai
1003,Employee_3,Marketing,52,39084,29-10-2016,2.7,Male,Single,11,High School,Chennai
1004,Employee_4,HR,57,62214,28-09-2015,4.6,Female,Single,1,Master,Bangalore
1005,Employee_5,IT,36,114659,11-03-2020,3.4,Male,Single,10,Bachelor,Mumbai
1006,Employee_6,Marketing,50,37690,24-07-2019,4.2,Male,Married,10,Master,Chennai
1007,Employee_7,HR,33,39693,31-05-2019,3.9,Male,Married,6,PhD,Mumbai
1008,Employee_8,IT,53,97479,10-10-2015,3.6,Female,Married,13,PhD,Mumbai
1009,Employee_9,IT,50,94668,31-10-2019,3.1,Female,Single,14,High School,Delhi
1010,Employee_10,Finance,41,32118,06-10-2021,4,Male,Single,10,PhD,Chennai
1011,Employee_11,Finance,23,88058,24-01-2016,2.9,Female,Single,13,Bachelor,Hyderabad
1012,Employee_12,Finance,53,45453,03-01-2021,2.8,Male,Married,11,Bachelor,Hyderabad
1013,Employee_13,Marketing,28,49247,24-05-2023,3,Female,Single,5,Master,Bangalore
1014,Employee_14,HR,51,69548,25-06-2017,3.4,Female,Married,6,Bachelor,Chennai
1015,Employee_15,HR,46,108523,15-10-2020,2.9,Male,Single,10,Bachelor,Hyderabad
1016,Employee_16,Sales,38,43663,29-06-2018,2.7,Female,Single,6,Bachelor,Bangalore
1017,Employee_17,Sales,56,70393,23-11-2021,2.6,Male,Single,1,High School,Chennai
1018,Employee_18,IT,55,105859,05-06-2016,3.6,Female,Married,5,PhD,Chennai
1019,Employee_19,Finance,25,49472,12-08-2020,3.1,Female,Single,6,PhD,Mumbai
1020,Employee_20,Sales,40,112780,29-07-2017,3.8,Male,Married,10,Bachelor,Bangalore
1021,Employee_21,IT,41,45853,21-01-2017,2,Female,Married,2,Master,Hyderabad
1022,Employee_22,HR,44,91639,08-02-2018,2.7,,Married,10,Bachelor,Hyderabad
1023,Employee_23,Finance,48,89259,18-10-2015,3.3,Female,,1,High School,Chennai
1024,Employee_24,Sales,51,34160,10-10-2020,3.3,Female,Single,7,Bachelor,Bangalore
1025,Employee_25,IT,53,96054,12-07-2019,4.9,Female,Single,10,Master,Chennai
1026,Employee_26,Sales,41,34067,17-01-2022,4.5,Male,Single,14,High School,Hyderabad
1027,Employee_27,IT,23,59673,28-04-2017,2.5,Male,Married,1,PhD,Delhi
1028,Employee_28,Sales,35,78788,11-05-2021,4.8,Male,Single,12,PhD,Mumbai
1029,Employee_29,HR,43,96952,26-11-2022,4.5,Female,Single,3,High School,Bangalore
1030,Employee_30,IT,35,54733,09-04-2017,2.3,Female,Single,4,High School,Delhi
1031,Employee_31,Finance,38,107245,07-08-2022,3,Male,Married,3,Bachelor,Delhi
1032,Employee_32,Marketing,56,65707,04-03-2022,3.8,Male,Married,0,Master,Mumbai
1033,Employee_33,Marketing,52,55488,16-06-2022,2.6,Male,Married,6,Master,Delhi
1034,Employee_34,Sales,58,32393,27-11-2016,4.7,Male,Married,14,High School,Hyderabad
1035,Employee_35,Finance,26,74664,22-10-2023,3.4,Female,Single,2,Master,Hyderabad
1036,Employee_36,Sales,50,65466,27-05-2020,2.3,Male,Single,1,High School,Delhi
1037,Employee_37,Marketing,24,,15-04-2021,2.6,Male,Single,5,Bachelor,Chennai
1038,Employee_38,IT,,104994,09-01-2015,2.5,Male,Single,5,Master,Hyderabad
1039,Employee_39,Sales,39,100318,24-04-2020,2.3,Male,Single,13,High School,Mumbai
1040,Employee_40,HR,48,46287,30-03-2015,2.3,Male,Single,8,Master,Mumbai
1041,Employee_41,IT,50,73586,21-03-2021,3.7,Male,Single,4,PhD,Mumbai
1042,Employee_42,HR,49,67528,21-04-2015,2.7,Female,Single,11,Master,Delhi
1043,Employee_43,Marketing,44,85164,05-05-2022,4.7,Female,Married,8,Master,Bangalore
1044,Employee_44,Marketing,41,77823,19-07-2015,4.6,Male,Single,2,High School,Bangalore
1045,Employee_45,IT,22,49534,31-07-2016,3.6,Female,Single,8,Bachelor,Chennai
1046,Employee_46,Finance,49,104296,17-09-2016,4.5,Male,Married,13,High School,Hyderabad
1047,Employee_47,IT,29,41732,25-08-2023,2.2,Male,Married,11,Master,Chennai
1048,Employee_48,Finance,57,97093,16-04-2021,4,Male,Married,11,Master,Mumbai
