Age,Salary,Purchased
56,81476,0
46,64811,0
32,56208,0
25,40150,1
38,91180,0
56,63286,0
36,88450,0
40,41352,1
28,75069,0
28,34397,1
41,61555,0
53,66959,0
57,20728,0
41,70517,0
20,86234,0
39,59954,0
19,67280,0
41,99459,1
47,36779,0
55,83932,0
19,92936,1
38,44466,0
50,56939,0
29,89896,1
39,55270,0
42,79163,0
44,102637,0
59,71934,0
45,84895,0
33,52307,0
32,74098,1
20,80921,0
54,25486,0
24,28335,0
38,106900,0
26,109112,0
56,117203,0
35,31130,0
21,107508,0
42,80566,1
31,86703,0
26,47192,1
43,21062,0
19,104076,1
37,109780,0
45,41545,0
24,41689,0
25,31174,0
52,108461,0
31,29348,0
34,43714,0
53,58102,0
57,94460,0
21,109930,0
19,26801,0
23,92267,0
59,68136,0
21,43625,1
46,102873,0
35,92592,0
43,97052,0
51,64261,1
27,21542,0
53,41677,0
31,66732,0
48,70343,0
32,59081,0
25,82856,1
31,113105,1
40,108858,0
57,39065,0
38,103460,1
33,108092,0
35,74693,0
41,46962,0
43,48295,0
42,33807,0
58,62348,0
46,46432,1
32,103285,1
18,111792,0
42,77854,0
24,60262,1
26,57080,1
41,21324,0
18,111267,1
25,55909,1
41,109339,0
28,39870,0
34,54578,0
25,92124,0
52,46790,0
52,45289,1
50,75129,0
22,113714,0
59,114246,0
56,35485,0
58,64482,1
45,106188,0
24,24748,0
26,106769,0
25,29435,0
29,23709,0
51,50355,0
50,75771,0
40,77799,0
41,33116,0
54,45470,0
52,62344,1
57,62918,0
39,72224,0
44,59298,0
52,100219,0
18,81629,0
52,86040,0
54,119518,1
31,119835,0
20,48016,0
18,43960,0
22,53591,1
43,102848,0
31,87641,0
56,56395,0
44,42700,0
26,54620,0
32,40559,1
32,113045,0
43,113396,0
59,81642,0
30,96539,0
49,41732,0
56,111362,0
49,50354,0
21,33843,0
47,91726,0
54,37640,0
40,72528,0
56,58413,0
32,72638,0
46,72736,0
53,88866,1
30,39087,1
49,61430,0
24,44504,0
39,27114,0
45,98859,0
19,119657,0
59,30975,0
23,31023,0
45,41447,0
45,110469,0
37,43959,0
47,86203,0
28,49703,0
45,29337,0
42,66427,0
56,81529,0
50,104665,0
18,51921,0
44,53307,0
30,47355,0
58,24835,0
20,40159,0
56,67605,1
23,58088,1
25,98752,0
44,75284,0
26,77043,0
54,55547,0
50,117007,1
59,102844,0
41,47532,0
32,54349,0
49,65445,0
49,25713,0
41,76178,0
58,69407,0
29,90340,1
56,70990,1
19,95672,0
20,85545,0
54,104791,0
34,78141,0
19,43793,0
19,76570,0
45,115084,0
40,57892,0
54,21015,0
49,81813,0
50,47712,1
