Level,Salary
7,37610
4,20042
8,41363
5,24379
7,35648
10,49739
3,15193
7,36190
8,38363
5,29184
4,17987
8,37571
8,42316
3,16583
6,31248
5,26256
2,9975
8,38205
6,30151
2,8645
5,26950
1,4705
10,48349
6,29357
9,45825
1,3872
10,48355
3,15487
7,35489
4,18986
9,44057
3,15464
5,22103
3,12185
7,33563
5,24573
9,45621
7,37950
2,11715
4,19680
9,44961
2,7994
10,49962
9,44422
10,50645
5,23345
2,11038
4,23065
7,34782
8,40803
3,16380
1,4197
4,20448
2,10025
8,40195
4,18453
2,10049
6,30995
6,32902
10,51918
4,24306
6,28465
2,11744
10,50366
2,14379
10,48383
4,18320
8,38801
7,30752
9,43948
8,38481
5,25300
2,10683
5,28752
8,41900
10,48846
9,43203
9,45983
1,2359
9,48662
7,37358
9,44061
8,36573
1,7707
8,39770
8,42475
3,11811
1,3801
8,40010
3,15093
3,14099
1,6245
5,22864
10,49715
7,35240
10,51028
9,46423
7,32750
9,41931
8,42555
2,10664
1,3503
7,38102
7,35231
8,42358
5,25135
3,19121
8,43510
6,29502
3,16943
1,6290
3,17737
5,23070
3,16372
1,7116
5,21482
10,47633
7,30921
7,34461
9,46435
10,53004
10,50148
3,18257
7,32239
1,1593
4,19888
4,20768
5,24934
7,30865
7,34821
4,17391
7,36339
3,15733
6,28120
2,8972
10,47881
9,44874
5,26910
6,28028
4,21008
10,48939
7,33414
9,44785
7,32929
1,3892
1,2604
9,48929
9,45070
4,18600
9,45427
3,14775
7,34558
6,31228
8,41515
9,43938
5,23848
1,4449
3,10396
10,46969
8,42733
6,33289
8,39501
9,46153
4,20622
1,11157
1,7239
10,49744
4,18088
7,31787
2,10406
3,13487
1,2155
5,23706
1,2836
8,43374
1,6763
1,4984
2,12959
2,10154
6,28277
7,38046
5,26077
1,2925
1,4619
3,13248
2,7234
5,26852
10,53818
6,27202
7,36125
4,18698
7,34025
8,38815
1,3272
6,30097
8,38338
5,25540
4,19899
2,9522
6,28184
6,28846
1,6510
9,46001
6,28044
3,15198
4,21502
4,16661
3,16086
10,48674
3,16141
3,13473
4,16390
7,31744
4,20096
9,45519
1,3191
8,41277
7,31676
2,9867
8,37577
1,3696
9,45094
9,43279
2,9230
7,37012
10,48846
3,16671
7,32740
10,51059
9,47883
4,15056
1,3406
2,11154
1,4593
5,25742
5,23792
7,35173
9,44688
9,47335
3,15508
3,15675
3,14176
4,19024
8,39134
6,30788
8,39158
1,5579
8,44150
4,21742
1,4347
8,42402
4,19183
6,25923
8,37983
4,16258
3,14296
9,45036
3,18352
9,45653
2,9561
2,11658
2,5577
6,30471
3,16541
9,42042
4,22287
1,5676
4,19169
1,6265
5,29541
4,20363
8,40496
8,39081
7,33300
3,16660
1,3287
1,5143
3,14044
6,30957
7,35667
6,32075
6,28979
6,29460
3,13042
6,29111
8,40754
2,11513
5,23155
1,6739
1,7711
5,25826
3,18753
4,18452
3,12510
1,1442
1,7992
5,26308
6,29888
3,15559
9,42749
5,29891
8,40258
1,5218
5,26451
3,15962
1,5447
4,18419
5,25942
7,38764
1,7690
3,18186
2,8977
9,43020
10,49748
6,30111
10,52188
3,11615
8,43059
8,39683
2,9146
6,27975
7,31690
2,11646
10,50146
2,7420
10,47409
1,4328
8,43338
1,4480
9,41993
6,29508
7,34454
10,44606
7,34891
10,49538
3,16392
2,13697
9,47253
8,39462
10,47786
7,40146
9,45118
4,20027
4,19951
1,5396
8,39711
3,13852
7,33906
2,9934
2,8913
7,33574
6,30212
3,14490
9,48007
10,44698
6,32183
10,52492
10,45853
6,29314
1,4257
4,17184
10,48444
6,27778
6,33504
5,26871
1,7543
8,41443
5,22741
5,23950
7,35978
4,17555
6,31425
4,19519
3,14250
7,36421
8,40888
4,19278
2,12318
10,47837
3,16231
1,6186
8,39380
3,15652
10,47497
7,36848
10,49630
5,23954
10,52098
5,23591
7,32183
9,41886
5,26212
1,2439
10,53509
10,45836
1,8392
2,10422
6,29806
9,43910
8,40798
5,24924
1,7206
7,35228
5,25300
6,29272
7,34886
3,15615
10,46579
3,12303
5,26486
6,30341
9,44632
5,25036
1,5695
4,18920
5,23443
10,50391
10,48043
5,25816
7,31594
4,22058
1,5945
5,25512
7,36965
10,53330
10,52028
6,26318
5,22440
4,18750
2,10052
4,21035
10,48548
10,50373
3,13489
10,48776
1,2186
8,38153
5,22296
4,18048
8,42107
7,33101
2,15264
1,5986
4,20369
8,38283
2,11400
3,13848
1,5244
1,10120
3,14807
5,27298
3,13593
1,4930
1,8541
8,38746
10,53624
2,11415
3,13875
2,11264
3,16945
7,36243
1,1859
10,48545
8,39504
10,49851
10,51241
10,50355
2,7329
3,15760
9,46221
7,36119
4,22161
10,51667
5,25918
2,9859
8,36678
4,20859
9,45415
5,25543
9,42446
4,17837
10,52106
5,24920
9,46363
8,40056
3,15059
1,6876
3,13967
4,20192
2,9075
1,4131
7,34381
8,40444
7,34042
5,27511
1,3210
7,34626
7,34120
9,47893
3,15393
