CGPA,Score,Placed
6.87,419,0
9.75,362,1
8.66,419,1
7.99,469,0
5.78,831,1
5.78,599,1
5.29,381,0
9.33,817,0
8.01,928,1
8.54,404,0
5.1,781,1
9.85,755,1
9.16,427,0
6.06,895,1
5.91,818,0
5.92,795,0
6.52,449,1
7.62,640,0
7.16,732,0
6.46,395,0
8.06,889,1
5.7,718,0
6.46,269,0
6.83,838,0
7.28,598,0
8.93,871,0
6.0,959,0
7.57,402,0
7.96,347,1
5.23,671,0
8.04,854,1
5.85,398,0
5.33,625,0
9.74,865,1
9.83,691,1
9.04,341,1
6.52,512,0
5.49,364,0
8.42,513,0
7.2,220,0
5.61,281,0
7.48,780,0
5.17,330,0
9.55,798,1
6.29,929,1
8.31,504,1
6.56,570,0
7.6,583,0
7.73,644,0
5.92,624,0
9.85,360,0
8.88,377,1
9.7,828,1
9.47,907,1
7.99,689,1
9.61,526,1
5.44,797,1
5.98,488,0
5.23,792,0
6.63,863,1
6.94,772,0
6.36,772,1
9.14,553,0
6.78,227,0
6.4,242,0
7.71,880,1
5.7,622,0
9.01,797,1
5.37,376,0
9.93,728,1
8.86,809,0
5.99,693,0
5.03,397,0
9.08,809,1
8.53,776,1
8.65,716,0
8.86,713,1
5.37,221,0
6.79,311,1
5.58,256,0
9.32,265,0
8.12,297,1
6.65,343,1
5.32,634,0
6.55,836,0
6.63,878,0
8.65,285,0
8.19,787,0
9.44,543,0
7.36,493,1
5.6,770,1
8.57,849,1
8.8,810,1
7.81,903,1
8.85,442,1
7.47,760,1
7.61,231,1
7.14,590,1
5.13,476,0
5.54,731,1
5.16,353,0
8.18,582,1
6.57,267,0
7.54,413,0
9.54,854,1
6.25,575,0
7.05,943,1
8.78,412,1
6.14,278,0
5.38,925,1
6.45,827,0
5.81,803,1
9.65,981,1
9.04,580,0
8.17,879,0
9.36,257,1
9.02,995,1
5.93,225,0
9.46,646,1
7.7,265,0
9.04,959,1
9.48,453,1
6.59,243,1
5.55,296,1
6.14,753,1
7.14,426,0
9.09,973,1
9.3,878,1
5.03,635,0
7.55,990,1
7.09,800,1
6.11,578,1
5.6,377,0
6.69,626,0
9.71,908,1
6.62,506,0
7.59,978,1
8.52,703,0
6.82,467,0
9.86,785,1
9.81,207,0
6.26,707,0
7.49,675,0
6.5,496,1
6.42,363,0
5.18,684,0
8.05,796,1
7.51,271,0
5.26,766,1
6.39,758,0
9.54,437,1
6.2,303,0
5.72,409,0
7.45,753,1
9.93,667,1
6.21,653,0
8.36,467,0
8.81,585,1
6.19,974,0
8.64,586,1
6.84,458,1
8.16,482,1
8.17,825,1
7.68,239,1
5.45,685,0
9.18,419,0
6.6,328,0
5.93,719,0
5.2,812,1
7.95,887,0
8.39,818,1
5.08,812,0
7.56,459,1
6.13,565,1
8.23,957,1
5.87,986,1
8.45,743,1
6.93,848,1
9.68,723,1
5.69,215,1
6.71,328,0
5.57,774,1
9.62,308,1
9.39,732,1
6.29,869,1
8.3,468,0
9.09,361,0
7.78,459,1
7.65,301,0
6.21,705,1
5.47,934,0
9.49,770,1
9.5,446,0
8.17,839,1
6.7,994,1
6.75,736,0
8.63,330,0
9.49,552,1
9.44,395,0
8.9,992,1
8.21,865,1
5.42,581,1
5.81,844,1
9.49,426,1
8.03,900,1
5.05,675,0
5.51,676,0
8.32,464,1
5.03,571,0
5.8,685,0
7.74,633,0
8.46,845,0
8.26,410,0
6.12,771,0
8.56,576,1
6.19,594,1
6.63,649,1
8.73,563,0
8.25,656,0
9.25,924,1
8.29,927,1
7.84,425,0
5.47,330,0
6.84,787,1
6.33,675,1
6.22,997,0
9.87,476,1
6.97,355,0
9.46,959,1
8.16,417,0
8.97,389,1
7.51,616,1
7.88,874,1
7.46,891,0
5.98,745,0
8.61,240,0
6.4,506,0
5.12,537,1
8.23,513,1
5.89,274,0
9.7,478,1
9.77,375,1
9.57,861,1
6.85,472,0
5.08,819,0
9.64,850,1
7.14,982,0
9.83,488,1
9.82,923,1
9.27,471,1
6.47,265,1
6.93,682,0
9.26,447,0
6.58,355,1
5.85,246,0
7.78,653,0
9.68,400,1
8.48,859,1
7.85,323,1
5.49,200,0
8.08,958,1
9.95,839,1
5.7,390,0
7.59,778,0
9.39,715,1
8.7,641,1
8.49,342,0
8.51,390,0
6.8,732,0
6.47,426,0
9.05,512,0
9.05,828,1
9.34,501,0
9.57,853,1
7.56,659,1
7.51,600,1
8.99,750,1
8.25,592,1
8.51,963,0
8.98,406,0
9.45,409,1
6.69,314,0
6.88,936,1
5.47,845,1
7.89,450,1
5.18,418,1
7.33,606,0
7.71,642,1
6.43,802,1
7.95,553,0
5.15,757,0
5.19,749,1
9.11,341,1
6.8,811,1
5.64,700,1
7.61,901,1
8.85,746,1
6.08,858,1
8.11,741,1
5.43,706,1
5.26,795,1
7.66,480,1
7.7,623,1
8.19,469,1
8.63,353,0
9.88,813,1
7.58,926,1
6.61,861,0
8.98,282,1
6.35,821,0
7.19,625,0
5.39,474,0
5.13,912,1
9.81,483,1
9.18,372,0
8.48,526,1
7.04,917,1
5.87,262,1
5.78,272,0
6.25,962,1
7.75,835,1
8.57,574,1
8.3,832,0
6.4,707,0
9.77,986,1
8.69,597,0
7.77,319,0
8.06,636,0
7.1,875,1
6.24,664,0
6.78,485,1
8.79,464,1
5.07,519,0
5.58,872,0
5.23,575,0
5.2,288,0
9.28,853,1
8.52,402,1
7.37,938,1
5.49,533,0
7.46,421,0
7.37,240,0
5.87,907,1
7.17,267,0
6.99,975,1
8.08,713,1
8.18,836,1
5.23,821,1
6.87,797,0
8.13,831,1
7.52,326,1
9.28,454,0
8.29,894,1
5.81,215,0
5.35,676,1
8.21,261,1
5.13,631,0
7.93,869,0
9.7,467,1
7.88,234,1
6.94,978,0
8.22,775,1
7.29,693,0
7.73,761,1
9.71,668,1
6.93,966,0
9.81,860,1
9.53,524,1
5.98,503,0
5.35,475,0
5.5,883,0
5.09,400,0
5.47,644,0
8.42,523,0
5.36,234,0
6.59,681,1
9.22,927,0
5.12,679,1
9.07,264,1
6.41,207,0
5.59,500,0
8.48,542,1
8.14,630,1
9.39,623,0
8.68,531,0
9.02,637,1
6.41,787,0
5.89,373,0
8.75,758,1
9.03,726,1
9.95,858,1
7.06,225,0
6.86,804,0
8.88,605,1
6.7,431,0
9.65,732,0
9.29,749,0
7.14,987,0
8.75,704,1
8.77,868,1
5.52,378,0
9.51,331,1
7.53,654,1
9.13,547,1
6.6,739,0
9.48,971,1
6.95,605,0
5.05,275,0
9.53,778,1
5.46,691,0
6.6,393,0
9.75,361,0
9.75,546,1
7.87,560,1
8.16,968,1
7.24,783,0
6.47,286,0
6.64,461,0
8.36,413,1
8.76,864,1
8.96,921,1
8.95,772,1
5.46,979,0
7.47,461,0
5.29,929,0
7.75,482,1
7.21,847,1
9.44,666,1
6.75,579,0
5.59,561,1
5.71,648,0
8.81,640,0
8.09,292,0
5.51,820,1
5.42,952,0
8.5,623,1
5.36,341,0
9.11,490,1
8.53,631,1
5.41,948,0
5.42,888,0
9.93,852,1
6.87,900,1
6.85,248,1
9.06,501,1
9.74,389,1
9.93,335,1
8.77,754,0
6.88,603,1
5.42,801,0
8.89,540,1
7.79,956,1
7.12,903,1
9.53,517,0
5.56,817,1
7.46,562,0
5.06,581,1
7.34,432,0
5.28,976,0
5.59,543,1
5.59,748,0
8.25,752,0
8.73,728,1
7.92,988,1
9.81,770,1
6.87,382,0
6.43,240,0
9.34,750,0
6.12,596,0
9.82,903,1
5.06,978,1
9.85,693,1
5.22,858,0
9.46,532,1
7.64,326,1
9.96,757,0
5.37,756,0
7.77,200,1
9.85,367,0
7.62,819,1
8.15,218,0
8.48,531,1
7.27,783,1
8.14,655,1
7.92,308,0
9.51,467,1
5.23,644,0
6.4,439,1
9.75,500,1
9.45,801,1
7.28,302,0
8.1,449,1
6.39,652,1
5.94,719,0
7.32,352,0
6.77,373,1
7.92,542,1
5.39,869,0
9.87,630,1
9.93,926,1
8.49,888,1
7.68,886,1
6.55,857,0
9.07,523,0
8.42,872,1
5.81,838,1
9.55,619,0
9.11,793,1
9.75,684,0
8.63,858,0
8.07,950,1
7.09,611,1
9.66,283,1
9.33,312,1
5.23,936,1
5.13,531,0
6.88,577,1
9.05,954,1
9.94,854,1
5.75,240,0
7.97,969,1
6.9,996,1
9.85,304,1
9.21,401,0
9.19,649,1
7.34,465,0
7.07,409,1
6.37,762,1
5.28,317,0
9.32,912,1
9.06,576,0
10.0,750,1
9.98,739,1
7.78,970,1
8.84,283,0
9.72,653,1
9.25,866,1
6.24,828,1
7.25,713,0
5.65,804,1
9.77,877,1
8.03,586,1
6.14,549,0
8.36,495,0
8.09,457,1
6.79,280,0
5.57,467,0
8.36,618,1
7.6,434,1
8.86,510,1
7.6,556,0
9.26,412,0
7.76,773,0
7.8,248,0
9.38,326,1
7.02,422,0
5.67,478,0
5.14,607,0
8.78,704,0
8.1,493,1
8.52,995,1
6.06,476,0
5.68,637,0
5.07,306,0
6.75,857,1
7.95,619,0
6.96,810,0
7.19,628,0
9.52,574,1
6.74,272,1
7.57,833,1
8.92,229,0
6.98,387,0
8.11,563,0
9.31,999,0
9.75,650,1
5.74,394,0
9.63,355,1
7.46,371,0
6.29,240,0
7.3,262,0
9.9,222,1
7.46,559,1
6.64,274,0
8.17,759,0
6.2,871,1
5.38,317,0
5.64,811,0
5.64,579,1
5.76,878,0
5.69,489,0
8.2,639,0
5.91,867,1
6.73,206,0
9.48,395,0
7.37,620,0
8.34,767,1
5.86,392,0
5.96,758,0
5.2,347,0
5.84,986,1
6.39,868,1
5.89,401,0
5.44,643,1
5.6,618,0
7.3,626,0
6.03,678,1
6.82,674,1
7.52,325,0
8.45,594,0
5.2,775,0
9.0,524,1
8.14,591,0
5.41,887,0
9.37,827,1
9.6,639,1
5.31,403,0
6.38,685,0
9.03,230,1
8.74,587,1
5.92,824,1
6.05,633,0
6.85,575,1
7.42,543,1
8.09,642,0
6.84,778,1
7.31,274,0
8.74,756,1
5.18,971,1
6.26,865,0
8.57,354,0
9.48,629,1
7.56,562,0
7.66,647,0
5.54,433,0
7.24,762,0
7.66,461,1
6.21,324,0
6.35,444,0
6.89,741,1
5.1,684,0
6.61,321,0
6.06,324,0
6.64,748,0
5.6,369,0
9.45,323,1
7.97,234,1
8.4,286,1
8.95,845,1
7.49,907,1
5.43,985,1
7.69,400,1
7.93,568,0
8.73,996,1
7.16,276,0
5.64,258,0
6.42,630,0
6.82,837,1
8.23,699,1
7.85,308,0
6.78,935,1
9.93,477,0
8.03,267,1
6.19,268,0
5.51,364,0
5.76,688,0
6.23,504,0
5.8,873,1
5.93,564,1
6.43,578,0
5.87,542,0
9.48,753,1
5.4,553,1
7.62,615,0
7.05,308,1
9.91,762,1
5.56,961,1
6.99,696,1
9.85,540,0
9.33,582,1
9.09,732,1
6.29,499,0
5.85,338,0
8.34,558,1
9.65,698,1
7.78,584,0
7.86,803,1
6.4,479,0
8.85,836,1
5.94,682,0
6.62,310,0
7.13,338,0
7.54,634,1
6.21,708,0
5.57,472,0
8.05,298,0
6.44,963,1
7.91,303,0
5.77,413,0
7.41,960,1
7.66,863,1
5.26,961,1
6.68,986,1
5.67,364,0
5.32,719,1
9.95,483,0
6.61,716,1
9.05,856,1
6.27,812,0
8.41,363,0
8.8,858,1
7.98,263,0
7.36,290,0
7.06,316,1
6.74,466,0
9.65,884,1
9.15,758,1
9.83,339,1
5.62,445,0
8.65,860,1
9.69,957,1
5.91,594,0
5.33,686,0
8.71,675,0
7.87,716,1
9.21,383,0
5.7,219,0
8.98,757,1
6.01,723,0
5.82,781,0
5.82,728,0
9.07,346,1
8.33,865,0
7.62,503,1
6.79,819,1
9.39,947,1
6.96,781,1
9.08,894,1
7.2,961,1
6.88,427,0
7.31,301,0
6.51,786,1
8.74,616,0
7.51,415,0
6.16,606,0
9.5,598,1
6.92,914,1
7.72,903,1
9.53,960,1
8.12,698,0
5.58,953,1
9.7,664,1
8.14,890,0
6.67,930,0
5.7,281,0
8.97,803,1
8.1,886,1
7.67,950,1
9.47,971,1
8.94,564,0
5.76,362,0
6.56,247,0
6.24,710,0
8.72,528,1
5.17,315,0
7.85,536,1
8.81,936,1
9.38,346,1
6.71,774,1
9.11,522,1
5.55,642,0
9.23,212,1
5.64,693,1
6.99,900,0
8.99,486,0
5.75,919,1
6.15,313,0
8.61,679,1
8.6,221,0
8.21,548,0
8.47,925,1
7.71,882,1
6.26,765,1
6.73,519,1
5.91,325,0
9.54,476,1
7.92,403,0
7.0,393,0
7.31,880,1
9.74,863,1
5.77,746,0
7.93,895,0
7.53,485,0
8.06,256,1
5.09,933,1
9.36,502,1
9.66,362,0
7.83,218,0
8.48,569,1
9.61,463,0
8.54,993,1
5.76,312,1
7.88,687,1
8.03,526,0
7.12,741,1
8.68,846,1
9.67,778,1
9.63,264,0
7.25,491,1
5.57,224,0
9.92,748,1
9.19,200,1
5.62,748,1
9.6,340,0
9.35,943,1
7.59,847,1
7.96,387,1
7.0,327,0
5.27,400,0
6.68,326,0
9.01,456,1
5.02,875,0
6.67,746,1
6.99,393,0
7.69,902,0
9.6,303,1
6.73,734,0
