User ID,Gender,Age,EstimatedSalary,Purchased
1,Male,29,35878,1
2,Female,33,83344,0
3,Male,41,119946,0
4,Male,36,51593,0
5,Male,25,51304,0
6,Female,48,128613,1
7,Male,38,33354,0
8,Male,34,37190,0
9,Male,40,21142,0
10,Female,54,56862,0
11,Male,33,140438,0
12,Male,23,63456,0
13,Male,25,115167,0
14,Male,42,97035,1
15,Female,35,23016,0
16,Male,42,17384,0
17,Female,29,117239,1
18,Female,32,126431,1
19,Female,43,95018,1
20,Male,58,55510,1
21,Female,43,36826,1
22,Male,49,83026,1
23,Female,27,136668,1
24,Female,33,39045,0
25,Female,24,105102,1
26,Female,34,66919,0
27,Female,40,114441,0
28,Female,43,133325,1
29,Female,38,34337,0
30,Female,39,92949,1
31,Male,24,15276,0
32,Male,31,66151,0
33,Female,32,67887,0
34,Female,24,96442,1
35,Female,26,64847,0
36,Male,25,73653,1
37,Female,40,71622,0
38,Male,46,42810,0
39,Male,35,92842,1
40,Male,48,137225,0
41,Male,47,25503,0
42,Male,56,99761,1
43,Female,52,141439,1
44,Female,35,26590,0
45,Female,59,81624,1
46,Female,56,135356,1
47,Female,34,57727,0
48,Male,31,93471,0
49,Female,48,23068,1
50,Female,41,131923,1
51,Male,52,26390,0
52,Female,51,121752,1
53,Male,20,109754,1
54,Female,54,90969,1
55,Male,60,92064,1
56,Female,57,36281,0
57,Female,43,69189,1
58,Male,40,63511,0
59,Male,56,137115,1
60,Male,32,23605,0
61,Male,21,115318,1
62,Male,46,147453,1
63,Male,39,34810,0
64,Male,42,56869,0
65,Male,30,47955,0
66,Female,35,76388,0
67,Female,50,25207,1
68,Male,33,37031,0
69,Female,59,95807,1
70,Female,19,86312,0
71,Female,52,74766,0
72,Female,59,104833,1
73,Male,51,126041,0
74,Female,47,131185,1
75,Male,30,25350,0
76,Female,30,115859,0
77,Female,35,83487,1
78,Female,49,138853,1
79,Male,49,68117,1
80,Female,52,116084,1
81,Male,56,38782,1
82,Female,46,43454,0
83,Male,46,82904,0
84,Female,33,144936,1
85,Male,27,137258,1
86,Male,47,126668,1
87,Female,42,139184,1
88,Male,56,31566,0
89,Female,37,53333,1
90,Female,22,136929,0
91,Female,18,104571,1
92,Female,47,135263,0
93,Female,20,147661,0
94,Female,31,40235,0
95,Female,47,15159,1
96,Female,21,119859,0
97,Female,35,122507,1
98,Female,54,29743,1
99,Female,42,61101,0
100,Male,18,136534,1
101,Male,32,99227,1
102,Female,26,86126,0
103,Female,32,71071,1
104,Female,41,89763,1
105,Female,21,61154,0
106,Female,29,22016,0
107,Female,54,104678,1
108,Female,54,127056,0
109,Female,60,69238,1
110,Male,23,73608,0
111,Female,56,104081,1
112,Male,41,65961,1
113,Female,28,41917,0
114,Female,30,42990,1
115,Male,51,77551,1
116,Female,42,95811,1
117,Male,24,70103,0
118,Female,21,121122,0
119,Female,25,34008,0
120,Male,37,47402,0
121,Female,46,128550,1
122,Male,27,106218,0
123,Female,60,148296,1
124,Male,51,135779,0
125,Male,43,144714,1
126,Female,58,47441,0
127,Female,20,77368,1
128,Male,23,107122,0
129,Female,22,59760,0
130,Female,22,38478,0
131,Female,40,142881,1
132,Male,26,86854,1
133,Male,52,109230,1
134,Male,37,100716,1
135,Male,59,113538,1
136,Male,52,30372,1
137,Male,35,44796,1
138,Male,34,113826,0
139,Male,41,135592,0
140,Male,20,108635,0
141,Female,49,126022,1
142,Male,52,69040,1
143,Female,55,90357,1
144,Female,30,93356,1
145,Female,42,31211,0
146,Male,26,120426,0
147,Male,21,20842,0
148,Male,31,81852,0
149,Male,54,140737,1
150,Female,51,60968,1
151,Male,28,32508,0
152,Male,58,69575,1
153,Male,20,81914,0
154,Male,45,82055,0
155,Male,46,102697,0
156,Female,26,121239,0
157,Male,20,138106,1
158,Female,42,20355,1
159,Male,51,69120,1
160,Female,29,53342,1
161,Male,59,17257,0
162,Male,26,42364,0
163,Female,32,126715,0
164,Female,57,41654,0
165,Female,42,96423,1
166,Male,22,44320,0
167,Female,28,35808,0
168,Male,51,67389,1
169,Male,41,133581,1
170,Female,32,142927,1
171,Female,55,49773,1
172,Male,25,91396,1
173,Male,22,122692,1
174,Female,43,72505,1
175,Female,35,100896,0
176,Female,23,33135,0
177,Male,54,105887,0
178,Male,30,137118,0
179,Male,45,62377,1
180,Male,22,77491,0
181,Male,30,73283,0
182,Male,34,31923,0
183,Female,57,62591,0
184,Male,49,77261,0
185,Male,46,69336,1
186,Male,20,89083,1
187,Female,57,75948,0
188,Male,51,41672,0
189,Male,57,19213,0
190,Female,44,77507,1
191,Male,30,72134,1
192,Male,50,148172,1
193,Male,23,43172,0
194,Male,41,35132,0
195,Male,36,33199,0
196,Female,33,51609,0
197,Female,57,46881,1
198,Female,45,39472,1
199,Male,50,69131,0
200,Male,58,27828,1
201,Male,30,111664,0
202,Female,60,147473,1
203,Male,42,30193,0
204,Male,59,117518,1
205,Female,53,34611,1
206,Male,44,91240,1
207,Female,55,17745,0
208,Female,24,70243,0
209,Female,22,18866,0
210,Male,60,143681,1
211,Male,48,86354,1
212,Male,40,66374,0
213,Male,59,129397,1
214,Male,27,139577,0
215,Male,49,96029,1
216,Male,60,108574,1
217,Female,47,45431,1
