Age,Purchased
29,1
33,0
41,0
36,0
25,0
48,1
38,0
34,0
40,0
54,0
33,0
23,0
25,0
42,1
35,0
42,0
29,1
32,1
43,1
58,1
43,1
49,1
27,1
33,0
24,1
34,0
40,0
43,1
38,0
39,1
24,0
31,0
32,0
24,1
26,0
25,1
40,0
46,0
35,1
48,0
47,0
56,1
52,1
35,0
59,1
56,1
34,0
31,0
48,1
41,1
52,0
51,1
20,1
54,1
60,1
57,0
43,1
40,0
56,1
32,0
21,1
46,1
39,0
42,0
30,0
35,0
50,1
33,0
59,1
19,0
52,0
59,1
51,0
47,1
30,0
30,0
35,1
49,1
49,1
52,1
56,1
46,0
46,0
33,1
27,1
47,1
42,1
56,0
37,1
22,0
18,1
47,0
20,0
31,0
47,1
21,0
35,1
54,1
42,0
18,1
32,1
26,0
32,1
41,1
21,0
29,0
54,1
54,0
60,1
23,0
56,1
41,1
28,0
30,1
51,1
42,1
24,0
21,0
25,0
37,0
46,1
27,0
60,1
51,0
43,1
58,0
20,1
23,0
22,0
22,0
40,1
26,1
52,1
37,1
59,1
52,1
35,1
34,0
41,0
20,0
49,1
52,1
55,1
30,1
42,0
26,0
21,0
31,0
54,1
51,1
28,0
58,1
20,0
45,0
46,0
26,0
20,1
42,1
51,1
29,1
59,0
26,0
32,0
57,0
42,1
22,0
28,0
51,1
41,1
32,1
55,1
25,1
22,1
43,1
35,0
23,0
54,0
30,0
45,1
22,0
30,0
34,0
57,0
49,0
46,1
20,1
57,0
51,0
57,0
44,1
30,1
50,1
23,0
41,0
36,0
33,0
57,1
45,1
50,0
58,1
30,0
60,1
42,0
59,1
53,1
44,1
55,0
24,0
22,0
60,1
48,1
40,0
59,1
27,0
49,1
60,1
47,1
56,1
48,0
35,1
53,1
19,1
31,1
30,0
46,1
29,0
56,1
19,0
49,0
30,0
44,0
58,1
34,1
57,0
48,1
51,1
41,0
52,0
23,0
36,1
47,0
24,0
27,0
58,0
49,0
51,1
45,1
32,1
47,0
54,1
46,1
39,1
21,0
37,1
49,1
53,0
21,0
44,0
34,1
29,0
39,0
34,0
27,0
18,1
39,1
43,0
35,1
31,0
46,0
29,0
53,0
52,1
29,0
24,0
46,1
28,0
50,0
23,1
32,0
49,0
28,1
40,1
43,1
51,0
51,1
46,0
21,0
34,0
52,0
30,0
58,0
56,0
32,1
46,0
46,0
28,0
49,0
19,0
31,0
37,0
39,1
28,0
44,1
20,0
34,1
45,1
46,0
38,1
33,1
54,1
37,0
23,1
36,1
22,0
20,0
18,0
55,1
32,0
51,0
52,0
42,1
41,0
29,0
35,0
32,0
33,1
44,1
25,0
